photons,time,photons_per_second
524288,0.035995,14565.624702
524288,0.041781,12548.506357
524288,0.043836,11960.155596
524288,0.037979,13804.660795
524288,0.043977,11921.843808
524288,0.047819,10963.991284
524288,0.049522,10587.047974
524288,0.042173,12431.787482
524288,0.123958,4229.546405
524288,0.074304,7056.022036
524288,0.109684,4779.97568
524288,0.047867,10952.971724
524288,0.044181,11866.761801
524288,0.047776,10973.811063
524288,0.037675,13916.091263
524288,0.038369,13664.301375
524288,0.039673,13215.271811
524288,0.036075,14533.420582
524288,0.043753,11982.986423
524288,0.037033,14157.46983
524288,0.043329,12100.091233
524288,0.043701,11997.294325
524288,0.037485,13986.449005
524288,0.040721,12875.154954
524288,0.039803,13172.10954
524288,0.041796,12543.901018
524288,0.040465,12956.702072
524288,0.04668,11231.509556
524288,0.063886,8206.628556
524288,0.049604,10569.469547
