photons,time,photons_per_second
4194304,1.505589,2785.823109
4194304,1.497833,2800.248593
4194304,1.497362,2801.129407
4194304,1.504503,2787.834381
4194304,1.497327,2801.19464
4194304,1.497916,2800.09274
4194304,1.501956,2792.560501
4194304,1.501603,2793.217644
4194304,1.503754,2789.222643
4194304,1.502159,2792.184189
4194304,1.500165,2795.895974
4194304,1.500665,2794.964013
4194304,1.496504,2802.734417
4194304,1.501028,2794.287337
4194304,1.497342,2801.166232
4194304,1.498457,2799.082859
4194304,1.504733,2787.408125
4194304,1.500114,2795.989484
4194304,1.500349,2795.552416
4194304,1.501705,2793.028037
4194304,1.500366,2795.521417
4194304,1.497709,2800.479353
4194304,1.500541,2795.194677
4194304,1.500689,2794.918052
4194304,1.499236,2797.628426
4194304,1.497283,2801.277349
4194304,1.50219,2792.125389
4194304,1.497356,2801.139249
4194304,1.497298,2801.248752
4194304,1.49718,2801.470108
