photons,time,photons_per_second
1048576,0.132646,7905.042638
1048576,0.147527,7107.667755
1048576,0.105627,9927.142136
1048576,0.133462,7856.751793
1048576,0.143279,7318.444503
1048576,0.147898,7089.877634
1048576,0.149501,7013.816059
1048576,0.131272,7987.786078
1048576,0.139078,7539.471024
1048576,0.118093,8879.207433
1048576,0.132807,7895.489868
1048576,0.156304,6708.546936
1048576,0.152617,6870.628933
1048576,0.136403,7687.334254
1048576,0.141192,7426.579415
1048576,0.137578,7621.701379
1048576,0.136575,7677.662534
1048576,0.136531,7680.132888
1048576,0.157013,6678.264362
1048576,0.14459,7252.052177
1048576,0.142217,7373.059117
1048576,0.119393,8782.586108
1048576,0.149218,7027.159534
1048576,0.136949,7656.689667
1048576,0.140761,7449.310067
1048576,0.115364,9089.295077
1048576,0.137362,7633.678595
1048576,0.135147,7758.809826
1048576,0.175777,5965.373262
1048576,0.152972,6854.706783
