photons,time,photons_per_second
21495808,0.604059,35585.632988
21495808,0.625171,34383.873824
21495808,0.615187,34941.88514
21495808,0.61473,34967.908118
21495808,0.617714,34798.98685
21495808,0.623047,34501.074212
21495808,0.626721,34298.838188
21495808,0.622753,34517.363722
21495808,0.617071,34835.236804
21495808,0.63138,34045.776826
21495808,0.618023,34781.542968
21495808,0.637604,33713.405877
21495808,0.62205,34556.396332
21495808,0.622013,34558.438573
21495808,0.617714,34798.94228
21495808,0.615958,34898.157747
21495808,0.633096,33953.48151
21495808,0.624961,34395.455648
21495808,0.618902,34732.171146
21495808,0.621811,34569.700717
21495808,0.624737,34407.774958
21495808,0.617657,34802.203325
21495808,0.623235,34490.680241
21495808,0.616125,34888.716199
21495808,0.630202,34109.383703
21495808,0.625359,34373.545885
21495808,0.617083,34834.569554
21495808,0.623128,34496.630463
21495808,0.626241,34325.131875
21495808,0.620882,34621.401981
